"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-01,130,yandex,cpc,freemium,21654,110,25,1654810
2023-06-01,74,yandex,cpc,prof-frontend,55778,55,11,1040443
2023-06-01,62,yandex,cpc,prof-python,33026,51,5,525029
2023-06-01,31,yandex,cpc,base-python,12524,24,6,463467
2023-06-01,116,vk,cpc,freemium-frontend,3160,44,6,423227
2023-06-01,58,yandex,cpc,prof-java,29490,48,4,284590
2023-06-01,54,yandex,cpc,base-frontend,18061,43,3,268515
2023-06-01,16,yandex,cpc,prof-data-analytics,9719,14,2,220264
2023-06-01,65,vk,cpc,prof-python,2028,33,3,186741
2023-06-01,24,yandex,cpc,prof-professions-brand,4818,12,3,154287
2023-06-01,36,vk,cpc,prof-data-analytics,1072,22,2,151050
2023-06-01,6,yandex,cpc,dod-php,5964,4,1,150255
2023-06-01,4,yandex,cpc,base-professions-retarget,151,4,1,134100
2023-06-01,22,yandex,cpc,base-java,19252,19,1,48000
2023-06-01,64,vk,cpc,base-python,2537,30,1,9072
